City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Couldiness,Wind Speed
92,Hobart,AU,-42.8794,147.3294,56.12,55,40,1.01
93,Comodoro Rivadavia,AR,-45.8667,-67.5,40.86,60,0,13.8
94,Sambava,MG,-14.2667,50.1667,74.59,78,66,15.82
95,Vaini,TO,-21.2,-175.2,69.96,94,75,6.91
96,Vao,NC,-22.6667,167.4833,68.31,59,98,12.03
97,Kodiak,US,57.79,-152.4072,37.53,81,17,7.47
98,Ahtopol,BG,42.1,27.95,64.87,60,0,4.12
99,Mahebourg,MU,-20.4081,57.7,77.29,69,75,12.66
100,Longyearbyen,SJ,78.2186,15.6401,37.18,99,100,2.21
101,Atuona,PF,-9.8,-139.0333,78.12,75,46,19.19
102,Sioux Lookout,CA,50.1001,-91.917,52.18,87,75,0.0
103,Georgetown,MY,5.4112,100.3354,87.75,74,20,13.0
104,Vaini,TO,-21.2,-175.2,69.96,94,75,6.91
105,Busselton,AU,-33.65,115.3333,61.05,75,61,12.5
106,Albany,US,42.6001,-73.9662,59.59,92,77,7.05
107,Puerto Escondido,MX,15.85,-97.0667,78.51,84,100,4.97
108,Sao Filipe,CV,14.8961,-24.4956,77.9,75,72,8.97
109,Ranong,TH,9.9658,98.6348,78.73,96,100,4.74
110,Ushuaia,AR,-54.8,-68.3,37.06,65,40,8.05
111,Hithadhoo,MV,-0.6,73.0833,82.49,76,100,14.76
112,Lavrentiya,RU,65.5833,-171.0,30.38,83,56,4.76
113,Geraldton,AU,-28.7667,114.6,68.41,60,75,16.11
114,Vila,PT,42.0304,-8.1588,53.33,95,87,3.85
115,Hay River,CA,60.8156,-115.7999,39.18,93,20,0.0
116,Rikitea,PF,-23.1203,-134.9692,73.94,71,3,16.82
117,Punta Arenas,CL,-53.15,-70.9167,33.91,86,40,8.05
118,Cape Town,ZA,-33.9258,18.4232,64.11,90,75,2.3
119,Jamestown,US,42.097,-79.2353,53.08,96,75,1.01
120,Sheridan,US,44.8333,-106.9173,70.3,20,39,5.01
121,Garowe,SO,8.4054,48.4845,88.02,39,94,22.37
122,Olden,NO,61.8364,6.8064,57.9,81,100,10.31
123,Zunyi,CN,27.6867,106.9072,83.77,52,12,11.25
124,Qaanaaq,GL,77.484,-69.3632,16.38,71,25,7.65
125,Mataura,NZ,-46.1927,168.8643,43.48,91,91,1.61
126,Beringovskiy,RU,63.05,179.3167,36.84,59,65,7.99
127,Hobart,AU,-42.8794,147.3294,56.12,55,40,1.01
128,Salalah,OM,17.0151,54.0924,87.62,66,95,9.17
129,Touros,BR,-5.1989,-35.4608,74.3,87,47,14.09
130,Mataura,NZ,-46.1927,168.8643,43.48,91,91,1.61
131,Ponta Do Sol,PT,32.6667,-17.1,69.71,67,100,2.51
132,Mayachnyy,RU,52.6839,55.685,56.98,49,100,3.76
133,Seymour,US,38.9592,-85.8903,53.47,95,6,4.74
134,Warrensburg,US,38.7628,-93.7361,62.29,73,1,5.99
135,Punta Arenas,CL,-53.15,-70.9167,33.91,86,40,8.05
136,Albany,US,42.6001,-73.9662,59.59,92,77,7.05
137,Shingu,JP,33.7333,135.9833,76.19,94,100,18.63
138,Arraial Do Cabo,BR,-22.9661,-42.0278,70.47,83,82,25.52
139,Port Lincoln,AU,-34.7333,135.8667,58.6,59,43,12.95
140,Vao,NC,-22.6667,167.4833,68.31,59,98,12.03
141,Bonthe,SL,7.5264,-12.505,75.72,91,100,4.88
142,Punta Arenas,CL,-53.15,-70.9167,33.91,86,40,8.05
143,Sakakah,SA,29.9697,40.2064,80.17,26,0,12.08
144,Tuktoyaktuk,CA,69.4541,-133.0374,33.6,97,100,13.65
145,Seoul,KR,37.5683,126.9778,80.17,47,0,8.05
146,Clyde River,CA,70.4692,-68.5914,24.24,87,18,4.9
147,Hermanus,ZA,-34.4187,19.2345,64.9,84,100,5.82
148,Rikitea,PF,-23.1203,-134.9692,73.94,71,3,16.82
149,Albany,US,42.6001,-73.9662,59.59,92,77,7.05
150,Mataura,NZ,-46.1927,168.8643,43.48,91,91,1.61
151,Narsaq,GL,60.9167,-46.05,30.97,46,8,8.23
152,Praia,CV,14.9215,-23.5087,77.54,83,75,8.05
153,Provideniya,RU,64.3833,-173.3,34.59,75,80,5.7
154,Cape Town,ZA,-33.9258,18.4232,64.11,90,75,2.3
155,Bengkulu,ID,-3.8004,102.2655,76.57,90,100,9.86
156,Sakaraha,MG,-22.9,44.5333,86.79,14,0,6.08
157,Korla,CN,41.7597,86.1469,73.0,16,0,9.57
158,Castro,BR,-24.7911,-50.0119,55.47,97,12,4.29
159,Ribeira Grande,PT,38.5167,-28.7,66.6,88,40,5.75
160,Port Macquarie,AU,-31.4333,152.9167,57.16,77,100,10.07
